id	sam	magnesium	temperature	probe	modified	untreated	denatured	sequence	replicate	split_run	discard
RIBOSAM_rep1-nosam_noMg	no	no	30	1M7	S1D	S1A	S1E	RIBOSAM	rep1	True	
RIBOSAM_rep1-nosam_Mg1	no	1	30	1M7	S1B	S1A	S1E	RIBOSAM	rep1	True	
RIBOSAM_rep1-nosam_Mg5	no	5	30	1M7	S1C	S1A	S1E	RIBOSAM	rep1	True	yes
RIBOSAM_rep1-sam01_Mg1	0-1	1	30	1M7	S1F	S1A	S1E	RIBOSAM	rep1	True	
RIBOSAM_rep1-sam01_Mg5	0-1	5	30	1M7	S1G	S1A	S1E	RIBOSAM	rep1	True	yes
RIBOSAM_rep1-sam1_Mg1	1	1	30	1M7	S1H	S1A	S1E	RIBOSAM	rep1	True	
RIBOSAM_rep1-sam1_Mg5	1	5	30	1M7	S1I	S1A	S1E	RIBOSAM	rep1	True	yes
RIBOSAM_rep2-nosam_noMg	no	no	30	1M7	S2D	S2A	S2E	RIBOSAM	rep2	True	
RIBOSAM_rep2-nosam_Mg1	no	1	30	1M7	S2B	S2A	S2E	RIBOSAM	rep2	True	
RIBOSAM_rep2-sam01_Mg1	0-1	1	30	1M7	S2F	S2A	S2E	RIBOSAM	rep2	True	
RIBOSAM_rep2-sam01_Mg5	0-1	5	30	1M7	S2G	S2A	S2E	RIBOSAM	rep2	True	
RIBOSAM_rep2-sam1_Mg1	1	1	30	1M7	S2H	S2A	S2E	RIBOSAM	rep2	True	
RIBOSAM_rep2-sam1_Mg5	1	5	30	1M7	S2I	S2A	S2E	RIBOSAM	rep2	True	
RIBOSAM_rep3-nosam_Mg5	no	5	30	1M7	S3C	S1A	S1E	RIBOSAM	rep3	True	
RIBOSAM_rep3-sam01_Mg5	0-1	5	30	1M7	S3G	S1A	S1E	RIBOSAM	rep3	True	
RIBOSAM_rep3-sam1_Mg5	1	5	30	1M7	S3I	S1A	S1E	RIBOSAM	rep3	True	
RIBOSAMN-PDB-1M7_noMg_noSAM_rep0	no	no	30	1M7	R1B	R1A	R1E	RIBOSAM	rep0	True	
RIBOSAMN-PDB-1M7_1Mg_noSAM_rep0	no	1	30	1M7	R1C	R1A	R1E	RIBOSAM	rep0	True	
RIBOSAMN-PDB-1M7_5Mg_noSAM_rep0	no	5	30	1M7	R1D	R1A	R1E	RIBOSAM	rep0	True	
RIBOSAMN-PDB-1M7_1Mg_01SAM_rep0	0-1	1	30	1M7	R1F	R1A	R1E	RIBOSAM	rep0	True	
RIBOSAMN-PDB-1M7_5Mg_01SAM_rep0	0-1	5	30	1M7	R1G	R1A	R1E	RIBOSAM	rep0	True	
RIBOSAMN-PDB-1M7_1Mg_1SAM_rep0	1	1	30	1M7	R1H	R1A	R1E	RIBOSAM	rep0	True	
RIBOSAMN-PDB-1M7_5Mg_1SAM_rep0	1	5	30	1M7	R1I	R1A	R1E	RIBOSAM	rep0	True	
